Gene ID,PF3D7_1343700
KGKA-BKG-078-2022-MSMT-1,0
KGKA-BKG-204-2022-MSMT-1,1021.0
KGMU-NSB-044-2022-MSMT-1,44.0
KGNG-CVU-132-2022-MSMT-1,0
KGKA-BKG-301-2022-MSMT-1,6130.0
KGMU-NSB-217-2022-MSMT-1,0
KGKA-BKG-106-2022-MSMT-1,246.0
KGNG-CVU-009-2022-MSMT-1,14.0
KGKA-BKG-058-2022-MSMT-1,0
KGMU-NSB-170-2022-MSMT-1,0
KGKA-BKG-167-2022-MSMT-1,23.0
KGKA-BKG-030-2022-MSMT-1,107.0
KGMU-NSB-039-2022-MSMT-1,56.0
KGKA-BKG-255-2022-MSMT-1,0
KGKA-BKG-180-2022-MSMT-1,288.0
KGKA-BKG-287-2022-MSMT-1,0
KGMU-NSB-169-2022-MSMT-1,0
KGMU-NSB-063-2022-MSMT-1,0
KGMU-NSB-066-2022-MSMT-1,22.0
KGKA-BKG-071-2022-MSMT-1,0
KGNG-CVU-126-2022-MSMT-1,18.0
KGMU-NSB-122-2022-MSMT-1,0
KGNG-CVU-118-2022-MSMT-1,23.0
KGNG-CVU-044-2022-MSMT-1,0
KGNG-CVU-083-2022-MSMT-1,0
KGKA-BKG-201-2022-MSMT-1,0
KGNG-CVU-029-2022-MSMT-1,0
KGKA-BKG-289-2022-MSMT-1,101.0
KGKA-BKG-125-2022-MSMT-1,1115.0
KGMU-NSB-002-2022-MSMT-1,19.0
KGNG-CVU-136-2022-MSMT-1,24.0
KGNG-CVU-104-2022-MSMT-1,12.0
KGNG-CVU-064-2022-MSMT-1,0
KGNG-CVU-004-2022-MSMT-1,17.0
KGKA-BKG-191-2022-MSMT-1,21.0
KGMU-NSB-162-2022-MSMT-1,0
KGKA-BKG-159-2022-MSMT-1,89.0
KGMU-NSB-239-2022-MSMT-1,0
KGMU-NSB-120-2022-MSMT-1,0
KGKA-BKG-099-2022-MSMT-1,0
KGKA-BKG-241-2022-MSMT-1,0
KGNG-CVU-054-2022-MSMT-1,0
KGNG-CVU-139-2022-MSMT-1,14.0
KGKA-BKG-245-2022-MSMT-1,430.0
KGNG-CVU-087-2022-MSMT-1,12.0
KGMU-NSB-106-2022-MSMT-1,0
KGNG-CVU-131-2022-MSMT-1,16.0
KGKA-BKG-022-2022-MSMT-1,0
KGKA-BKG-113-2022-MSMT-1,214.0
KGKA-BKG-091-2022-MSMT-1,2219.0
KGMU-NSB-158-2022-MSMT-1,19.0
KGMU-NSB-117-2022-MSMT-1,0
KGKA-BKG-236-2022-MSMT-1,527.0
KGMU-NSB-154-2022-MSMT-1,0
KGKA-BKG-072-2022-MSMT-1,12.0
KGKA-BKG-302-2022-MSMT-1,120.0
KGKA-BKG-146-2022-MSMT-1,0
KGNG-CVU-055-2022-MSMT-1,20.0
KGKA-BKG-294-2022-MSMT-1,0
KGMU-NSB-061-2022-MSMT-1,134.0
KGMU-NSB-064-2022-MSMT-1,0
KGMU-NSB-173-2022-MSMT-1,0
KGMU-NSB-136-2022-MSMT-1,29.0
KGKA-BKG-281-2022-MSMT-1,16.0
KGNG-CVU-120-2022-MSMT-1,20.0
KGNG-CVU-092-2022-MSMT-1,39.0
KGKA-BKG-260-2022-MSMT-1,213.0
KGMU-NSB-254-2022-MSMT-1,0
KGNG-CVU-140-2022-MSMT-1,35.0
KGKA-BKG-138-2022-MSMT-1,197.0
KGKA-BKG-169-2022-MSMT-1,3557.0
KGKA-BKG-257-2022-MSMT-1,0
KGKA-BKG-184-2022-MSMT-1,0
KGMU-NSB-174-2022-MSMT-1,0
KGKA-BKG-014-2022-MSMT-1,6477.0
KGMU-NSB-185-2022-MSMT-1,0
KGKA-BKG-194-2022-MSMT-1,0
KGMU-NSB-256-2022-MSMT-1,14.0
KGMU-NSB-252-2022-MSMT-1,0
KGMU-NSB-051-2022-MSMT-1,13.0
KGKA-BKG-069-2022-MSMT-1,4930.0
KGKA-BKG-285-2022-MSMT-1,122.0
KGKA-BKG-176-2022-MSMT-1,548.0
KGKA-BKG-265-2022-MSMT-1,0
KGNG-CVU-026-2022-MSMT-1,0
KGNG-CVU-062-2022-MSMT-1,42.0
KGMU-NSB-259-2022-MSMT-1,0
KGKA-BKG-283-2022-MSMT-1,167.0
KGMU-NSB-131-2022-MSMT-1,0
KGMU-NSB-075-2022-MSMT-1,85.0
KGMU-NSB-150-2022-MSMT-1,0
KGKA-BKG-303-2022-MSMT-1,15.0
KGMU-NSB-203-2022-MSMT-1,0
KGMU-NSB-157-2022-MSMT-1,0
KGNG-CVU-142-2022-MSMT-1,67.0
KGMU-NSB-057-2022-MSMT-1,60.0
KGKA-BKG-267-2022-MSMT-1,0
KGMU-NSB-237-2022-MSMT-1,0
KGMU-NSB-070-2022-MSMT-1,14.0
KGMU-NSB-073-2022-MSMT-1,93.0
KGKA-BKG-249-2022-MSMT-1,76.0
KGNG-CVU-070-2022-MSMT-1,44.0
KGMU-NSB-148-2022-MSMT-1,0
KGKA-BKG-221-2022-MSMT-1,12.0
KGNG-CVU-151-2022-MSMT-1,20.0
KGKA-BKG-275-2022-MSMT-1,41.0
KGKA-BKG-035-2022-MSMT-1,797.0
KGKA-BKG-074-2022-MSMT-1,797.0
KGMU-NSB-230-2022-MSMT-1,0
KGKA-BKG-261-2022-MSMT-1,0
KGMU-NSB-088-2022-MSMT-1,33.0
KGKA-BKG-190-2022-MSMT-1,660.0
KGNG-CVU-034-2022-MSMT-1,15.0
KGKA-BKG-024-2022-MSMT-1,104.0
KGMU-NSB-091-2022-MSMT-1,147.0
KGMU-NSB-196-2022-MSMT-1,0
KGKA-BKG-171-2022-MSMT-1,1098.0
KGKA-BKG-251-2022-MSMT-1,0
KGKA-BKG-119-2022-MSMT-1,78.0
KGKA-BKG-065-2022-MSMT-1,97.0
KGNG-CVU-143-2022-MSMT-1,18.0
KGNG-CVU-128-2022-MSMT-1,0
KGKA-BKG-213-2022-MSMT-1,14.0
KGNG-CVU-095-2022-MSMT-1,25.0
KGNG-CVU-024-2022-MSMT-1,22.0
KGNG-CVU-072-2022-MSMT-1,15.0
KGKA-BKG-304-2022-MSMT-1,29.0
KGKA-BKG-009-2022-MSMT-1,717.0
KGKA-BKG-028-2022-MSMT-1,949.0
KGMU-NSB-125-2022-MSMT-1,183.0
KGKA-BKG-040-2022-MSMT-1,242.0
KGMU-NSB-205-2022-MSMT-1,0
KGNG-CVU-059-2022-MSMT-1,13.0
KGKA-BKG-178-2022-MSMT-1,0
KGMU-NSB-213-2022-MSMT-1,35.0
KGKA-BKG-297-2022-MSMT-1,0
KGKA-BKG-093-2022-MSMT-1,174.0
KGKA-BKG-020-2022-MSMT-1,0
KGKA-BKG-220-2022-MSMT-1,0
KGNG-CVU-031-2022-MSMT-1,18.0
KGMU-NSB-096-2022-MSMT-1,0
KGMU-NSB-146-2022-MSMT-1,17.0
KGKA-BKG-222-2022-MSMT-1,0
KGMU-NSB-050-2022-MSMT-1,0
KGNG-CVU-003-2022-MSMT-1,0
KGKA-BKG-031-2022-MSMT-1,3799.0
KGKA-BKG-296-2022-MSMT-1,0
KGNG-CVU-093-2022-MSMT-1,41.0
KGKA-BKG-017-2022-MSMT-1,60.0
KGKA-BKG-219-2022-MSMT-1,0
KGMU-NSB-129-2022-MSMT-1,11.0
KGNG-CVU-022-2022-MSMT-1,0
KGMU-NSB-005-2022-MSMT-1,0
KGKA-BKG-089-2022-MSMT-1,0
KGKA-BKG-092-2022-MSMT-1,124.0
KGNG-CVU-041-2022-MSMT-1,16.0
KGKA-BKG-067-2022-MSMT-1,411.0
KGNG-CVU-153-2022-MSMT-1,0
KGKA-BKG-025-2022-MSMT-1,632.0
KGKA-BKG-246-2022-MSMT-1,0
KGKA-BKG-270-2022-MSMT-1,13.0
KGNG-CVU-148-2022-MSMT-1,40.0
KGKA-BKG-032-2022-MSMT-1,143.0
KGMU-NSB-025-2022-MSMT-1,125.0
KGNG-CVU-110-2022-MSMT-1,24.0
KGMU-NSB-040-2022-MSMT-1,115.0
KGKA-BKG-095-2022-MSMT-1,7596.0
KGKA-BKG-258-2022-MSMT-1,0
KGKA-BKG-084-2022-MSMT-1,3601.0
KGMU-NSB-124-2022-MSMT-1,39.0
KGKA-BKG-145-2022-MSMT-1,2179.0
KGNG-CVU-020-2022-MSMT-1,60.0
KGKA-BKG-227-2022-MSMT-1,235.0
KGKA-BKG-192-2022-MSMT-1,0
KGKA-BKG-122-2022-MSMT-1,541.0
KGMU-NSB-234-2022-MSMT-1,0
KGKA-BKG-300-2022-MSMT-1,11.0
KGNG-CVU-147-2022-MSMT-1,151.0
KGKA-BKG-187-2022-MSMT-1,450.0
KGNG-CVU-133-2022-MSMT-1,0
KGKA-BKG-277-2022-MSMT-1,0
KGMU-NSB-128-2022-MSMT-1,27.0
KGMU-NSB-052-2022-MSMT-1,0
KGMU-NSB-010-2022-MSMT-1,0
KGMU-NSB-247-2022-MSMT-1,0
KGNG-CVU-069-2022-MSMT-1,0
KGNG-CVU-134-2022-MSMT-1,17.0
KGMU-NSB-058-2022-MSMT-1,0
KGNG-CVU-051-2022-MSMT-1,0
KGMU-NSB-118-2022-MSMT-1,0
KGKA-BKG-252-2022-MSMT-1,0
KGKA-BKG-272-2022-MSMT-1,0
KGMU-NSB-161-2022-MSMT-1,11.0
KGMU-NSB-269-2022-MSMT-1,0
KGMU-NSB-145-2022-MSMT-1,0
KGMU-NSB-008-2022-MSMT-1,26.0
KGMU-NSB-189-2022-MSMT-1,0
KGKA-BKG-007-2022-MSMT-1,0
KGKA-BKG-019-2022-MSMT-1,2400.0
KGMU-NSB-238-2022-MSMT-1,14.0
KGKA-BKG-148-2022-MSMT-1,165.0
KGKA-BKG-214-2022-MSMT-1,14.0
KGKA-BKG-068-2022-MSMT-1,509.0
KGMU-NSB-045-2022-MSMT-1,38.0
KGNG-CVU-015-2022-MSMT-1,17.0
KGNG-CVU-115-2022-MSMT-1,0
KGNG-CVU-078-2022-MSMT-1,0
KGKA-BKG-064-2022-MSMT-1,0
KGNG-CVU-061-2022-MSMT-1,0
KGKA-BKG-029-2022-MSMT-1,1477.0
KGKA-BKG-098-2022-MSMT-1,72.0
KGNG-CVU-016-2022-MSMT-1,23.0
KGKA-BKG-051-2022-MSMT-1,33.0
KGNG-CVU-080-2022-MSMT-1,23.0
KGMU-NSB-271-2022-MSMT-1,0
KGMU-NSB-215-2022-MSMT-1,37.0
KGNG-CVU-121-2022-MSMT-1,14.0
KGNG-CVU-098-2022-MSMT-1,26.0
KGNG-CVU-039-2022-MSMT-1,11.0
KGMU-NSB-264-2022-MSMT-1,0
KGKA-BKG-259-2022-MSMT-1,0
KGNG-CVU-144-2022-MSMT-1,0
KGMU-NSB-265-2022-MSMT-1,15.0
KGNG-CVU-152-2022-MSMT-1,22.0
KGKA-BKG-137-2022-MSMT-1,18.0
KGKA-BKG-162-2022-MSMT-1,348.0
KGKA-BKG-042-2022-MSMT-1,0
KGMU-NSB-221-2022-MSMT-1,0
KGKA-BKG-127-2022-MSMT-1,12.0
KGKA-BKG-248-2022-MSMT-1,0
KGMU-NSB-153-2022-MSMT-1,0
KGKA-BKG-036-2022-MSMT-1,0
KGKA-BKG-002-2022-MSMT-1,0
KGKA-BKG-094-2022-MSMT-1,512.0
KGKA-BKG-240-2022-MSMT-1,36.0
KGMU-NSB-251-2022-MSMT-1,0
KGKA-BKG-175-2022-MSMT-1,214.0
KGMU-NSB-202-2022-MSMT-1,0
KGMU-NSB-112-2022-MSMT-1,0
KGMU-NSB-155-2022-MSMT-1,0
KGKA-BKG-123-2022-MSMT-1,18.0
KGMU-NSB-262-2022-MSMT-1,0
KGMU-NSB-012-2022-MSMT-1,21.0
KGNG-CVU-077-2022-MSMT-1,99.0
KGMU-NSB-099-2022-MSMT-1,0
KGKA-BKG-290-2022-MSMT-1,0
KGMU-NSB-135-2022-MSMT-1,12.0
KGNG-CVU-129-2022-MSMT-1,14.0
KGKA-BKG-059-2022-MSMT-1,2543.0
KGNG-CVU-117-2022-MSMT-1,86.0
KGKA-BKG-143-2022-MSMT-1,0
KGMU-NSB-074-2022-MSMT-1,71.0
KGKA-BKG-163-2022-MSMT-1,399.0
KGMU-NSB-197-2022-MSMT-1,0
KGMU-NSB-267-2022-MSMT-1,0
KGKA-BKG-147-2022-MSMT-1,64.0
KGMU-NSB-054-2022-MSMT-1,0
KGMU-NSB-030-2022-MSMT-1,0
KGKA-BKG-186-2022-MSMT-1,187.0
KGNG-CVU-100-2022-MSMT-1,156.0
KGMU-NSB-240-2022-MSMT-1,0
KGKA-BKG-048-2022-MSMT-1,13.0
KGKA-BKG-124-2022-MSMT-1,1191.0
KGKA-BKG-250-2022-MSMT-1,0
KGNG-CVU-021-2022-MSMT-1,0
KGKA-BKG-292-2022-MSMT-1,11.0
KGNG-CVU-088-2022-MSMT-1,32.0
KGKA-BKG-010-2022-MSMT-1,0
KGKA-BKG-211-2022-MSMT-1,785.0
KGMU-NSB-220-2022-MSMT-1,0
KGMU-NSB-171-2022-MSMT-1,0
KGKA-BKG-121-2022-MSMT-1,93.0
KGMU-NSB-232-2022-MSMT-1,0
KGKA-BKG-080-2022-MSMT-1,0
KGNG-CVU-058-2022-MSMT-1,0
KGKA-BKG-189-2022-MSMT-1,0
KGMU-NSB-223-2022-MSMT-1,0
KGKA-BKG-149-2022-MSMT-1,2884.0
KGNG-CVU-076-2022-MSMT-1,0
KGMU-NSB-243-2022-MSMT-1,0
KGKA-BKG-131-2022-MSMT-1,0
KGKA-BKG-047-2022-MSMT-1,0
KGKA-BKG-135-2022-MSMT-1,3083.0
KGMU-NSB-212-2022-MSMT-1,0
KGMU-NSB-190-2022-MSMT-1,0
KGNG-CVU-063-2022-MSMT-1,0
KGMU-NSB-207-2022-MSMT-1,0
KGKA-BKG-133-2022-MSMT-1,902.0
KGKA-BKG-049-2022-MSMT-1,84.0
KGMU-NSB-149-2022-MSMT-1,43.0
KGNG-CVU-071-2022-MSMT-1,17.0
KGMU-NSB-206-2022-MSMT-1,0
KGMU-NSB-016-2022-MSMT-1,102.0
KGMU-NSB-071-2022-MSMT-1,12.0
KGKA-BKG-223-2022-MSMT-1,0
KGNG-CVU-052-2022-MSMT-1,11.0
KGNG-CVU-057-2022-MSMT-1,23.0
KGKA-BKG-263-2022-MSMT-1,26.0
KGMU-NSB-219-2022-MSMT-1,0
KGMU-NSB-114-2022-MSMT-1,52.0
KGKA-BKG-225-2022-MSMT-1,18.0
KGMU-NSB-191-2022-MSMT-1,0
KGMU-NSB-098-2022-MSMT-1,0
KGKA-BKG-026-2022-MSMT-1,2603.0
KGNG-CVU-097-2022-MSMT-1,57.0
KGKA-BKG-212-2022-MSMT-1,11.0
KGNG-CVU-005-2022-MSMT-1,12.0
KGKA-BKG-235-2022-MSMT-1,129.0
KGKA-BKG-157-2022-MSMT-1,2824.0
KGNG-CVU-124-2022-MSMT-1,86.0
KGMU-NSB-095-2022-MSMT-1,0
KGNG-CVU-019-2022-MSMT-1,0
KGNG-CVU-081-2022-MSMT-1,49.0
KGMU-NSB-103-2022-MSMT-1,0
KGNG-CVU-102-2022-MSMT-1,65.0
KGKA-BKG-104-2022-MSMT-1,0
KGMU-NSB-198-2022-MSMT-1,0
KGKA-BKG-057-2022-MSMT-1,52.0
KGNG-CVU-042-2022-MSMT-1,15.0
KGMU-NSB-177-2022-MSMT-1,0
KGKA-BKG-056-2022-MSMT-1,95.0
KGMU-NSB-110-2022-MSMT-1,0
KGMU-NSB-159-2022-MSMT-1,0
KGMU-NSB-208-2022-MSMT-1,0
KGKA-BKG-090-2022-MSMT-1,2948.0
KGNG-CVU-032-2022-MSMT-1,0
KGKA-BKG-273-2022-MSMT-1,12.0
KGMU-NSB-108-2022-MSMT-1,26.0
KGKA-BKG-262-2022-MSMT-1,0
KGKA-BKG-144-2022-MSMT-1,221.0
KGNG-CVU-108-2022-MSMT-1,21.0
KGMU-NSB-053-2022-MSMT-1,0
KGMU-NSB-026-2022-MSMT-1,13.0
KGMU-NSB-195-2022-MSMT-1,0
KGNG-CVU-122-2022-MSMT-1,36.0
KGKA-BKG-088-2022-MSMT-1,463.0
KGMU-NSB-097-2022-MSMT-1,23.0
KGMU-NSB-204-2022-MSMT-1,0
KGKA-BKG-239-2022-MSMT-1,2723.0
KGKA-BKG-060-2022-MSMT-1,17.0
KGNG-CVU-150-2022-MSMT-1,16.0
KGKA-BKG-210-2022-MSMT-1,172.0
KGMU-NSB-253-2022-MSMT-1,0
KGMU-NSB-182-2022-MSMT-1,0
KGKA-BKG-284-2022-MSMT-1,502.0
KGKA-BKG-023-2022-MSMT-1,2241.0
KGMU-NSB-056-2022-MSMT-1,47.0
KGKA-BKG-108-2022-MSMT-1,95.0
KGNG-CVU-123-2022-MSMT-1,0
KGKA-BKG-111-2022-MSMT-1,30.0
KGNG-CVU-091-2022-MSMT-1,46.0
KGKA-BKG-182-2022-MSMT-1,4324.0
KGKA-BKG-217-2022-MSMT-1,61.0
KGNG-CVU-068-2022-MSMT-1,0
KGNG-CVU-046-2022-MSMT-1,0
KGKA-BKG-055-2022-MSMT-1,7833.0
KGMU-NSB-187-2022-MSMT-1,0
KGKA-BKG-266-2022-MSMT-1,667.0
KGKA-BKG-161-2022-MSMT-1,200.0
KGNG-CVU-023-2022-MSMT-1,0
KGMU-NSB-004-2022-MSMT-1,0
KGNG-CVU-017-2022-MSMT-1,31.0
KGMU-NSB-175-2022-MSMT-1,0
KGKA-BKG-097-2022-MSMT-1,1132.0
KGKA-BKG-087-2022-MSMT-1,1055.0
KGKA-BKG-280-2022-MSMT-1,0
KGKA-BKG-208-2022-MSMT-1,150.0
KGMU-NSB-216-2022-MSMT-1,0
KGNG-CVU-085-2022-MSMT-1,26.0
KGMU-NSB-077-2022-MSMT-1,14.0
KGNG-CVU-111-2022-MSMT-1,0
KGKA-BKG-174-2022-MSMT-1,853.0
KGMU-NSB-055-2022-MSMT-1,0
KGKA-BKG-128-2022-MSMT-1,13.0
KGKA-BKG-062-2022-MSMT-1,328.0
KGKA-BKG-195-2022-MSMT-1,0
KGMU-NSB-037-2022-MSMT-1,32.0
KGKA-BKG-100-2022-MSMT-1,2088.0
KGNG-CVU-099-2022-MSMT-1,71.0
KGKA-BKG-120-2022-MSMT-1,0
KGMU-NSB-222-2022-MSMT-1,0
KGMU-NSB-147-2022-MSMT-1,0
KGKA-BKG-229-2022-MSMT-1,0
KGNG-CVU-035-2022-MSMT-1,14.0
KGNG-CVU-116-2022-MSMT-1,13.0
KGKA-BKG-052-2022-MSMT-1,4004.0
KGKA-BKG-139-2022-MSMT-1,0
KGMU-NSB-007-2022-MSMT-1,31.0
KGNG-CVU-082-2022-MSMT-1,47.0
KGMU-NSB-242-2022-MSMT-1,0
KGMU-NSB-014-2022-MSMT-1,41.0
KGMU-NSB-015-2022-MSMT-1,115.0
KGNG-CVU-038-2022-MSMT-1,0
KGMU-NSB-132-2022-MSMT-1,53.0
KGKA-BKG-103-2022-MSMT-1,2456.0
KGMU-NSB-186-2022-MSMT-1,0
KGNG-CVU-105-2022-MSMT-1,0
KGKA-BKG-114-2022-MSMT-1,0
KGKA-BKG-115-2022-MSMT-1,52.0
KGKA-BKG-271-2022-MSMT-1,18.0
KGMU-NSB-115-2022-MSMT-1,22.0
KGNG-CVU-130-2022-MSMT-1,0
KGNG-CVU-079-2022-MSMT-1,13.0
KGMU-NSB-048-2022-MSMT-1,20.0
KGMU-NSB-228-2022-MSMT-1,0
KGKA-BKG-256-2022-MSMT-1,13.0
KGMU-NSB-038-2022-MSMT-1,15.0
KGNG-CVU-075-2022-MSMT-1,53.0
KGKA-BKG-117-2022-MSMT-1,1353.0
KGKA-BKG-243-2022-MSMT-1,149.0
KGNG-CVU-114-2022-MSMT-1,0
KGMU-NSB-113-2022-MSMT-1,110.0
KGKA-BKG-268-2022-MSMT-1,23.0
KGMU-NSB-209-2022-MSMT-1,0
KGKA-BKG-278-2022-MSMT-1,0
KGNG-CVU-138-2022-MSMT-1,0
KGKA-BKG-234-2022-MSMT-1,163.0
KGNG-CVU-045-2022-MSMT-1,15.0
KGMU-NSB-041-2022-MSMT-1,50.0
KGMU-NSB-225-2022-MSMT-1,50.0
KGNG-CVU-113-2022-MSMT-1,57.0
KGMU-NSB-001-2022-MSMT-1,0
KGMU-NSB-165-2022-MSMT-1,0
KGKA-BKG-046-2022-MSMT-1,3443.0
KGNG-CVU-049-2022-MSMT-1,13.0
KGNG-CVU-040-2022-MSMT-1,15.0
KGKA-BKG-202-2022-MSMT-1,578.0
KGKA-BKG-155-2022-MSMT-1,1099.0
KGMU-NSB-193-2022-MSMT-1,0
KGKA-BKG-053-2022-MSMT-1,0
KGKA-BKG-164-2022-MSMT-1,3164.0
KGKA-BKG-206-2022-MSMT-1,739.0
KGKA-BKG-282-2022-MSMT-1,96.0
KGNG-CVU-109-2022-MSMT-1,0
KGNG-CVU-154-2022-MSMT-1,11.0
KGKA-BKG-209-2022-MSMT-1,18.0
KGMU-NSB-241-2022-MSMT-1,0
KGKA-BKG-027-2022-MSMT-1,743.0
KGNG-CVU-119-2022-MSMT-1,58.0
KGMU-NSB-179-2022-MSMT-1,0
KGKA-BKG-008-2022-MSMT-1,41.0
KGNG-CVU-125-2022-MSMT-1,15.0
KGNG-CVU-096-2022-MSMT-1,23.0
KGKA-BKG-152-2022-MSMT-1,0
KGMU-NSB-080-2022-MSMT-1,19.0
KGMU-NSB-178-2022-MSMT-1,0
KGKA-BKG-274-2022-MSMT-1,15.0
KGKA-BKG-216-2022-MSMT-1,393.0
KGKA-BKG-288-2022-MSMT-1,0
KGNG-CVU-155-2022-MSMT-1,25.0
KGNG-CVU-043-2022-MSMT-1,0
KGMU-NSB-033-2022-MSMT-1,21.0
KGNG-CVU-007-2022-MSMT-1,13.0
KGNG-CVU-011-2022-MSMT-1,0
KGKA-BKG-203-2022-MSMT-1,277.0
KGKA-BKG-054-2022-MSMT-1,78.0
KGMU-NSB-059-2022-MSMT-1,0
KGKA-BKG-286-2022-MSMT-1,0
KGNG-CVU-067-2022-MSMT-1,99.0
KGMU-NSB-143-2022-MSMT-1,0
KGMU-NSB-046-2022-MSMT-1,13.0
KGKA-BKG-291-2022-MSMT-1,15.0
KGKA-BKG-177-2022-MSMT-1,20.0
KGMU-NSB-260-2022-MSMT-1,0
KGNG-CVU-135-2022-MSMT-1,0
KGNG-CVU-036-2022-MSMT-1,20.0
KGNG-CVU-013-2022-MSMT-1,21.0
KGMU-NSB-244-2022-MSMT-1,0
KGMU-NSB-226-2022-MSMT-1,0
KGMU-NSB-090-2022-MSMT-1,0
KGKA-BKG-129-2022-MSMT-1,216.0
KGKA-BKG-130-2022-MSMT-1,0
KGKA-BKG-228-2022-MSMT-1,12.0
KGMU-NSB-261-2022-MSMT-1,21.0
KGKA-BKG-006-2022-MSMT-1,0
KGNG-CVU-008-2022-MSMT-1,0
KGMU-NSB-168-2022-MSMT-1,0
KGKA-BKG-238-2022-MSMT-1,269.0
KGNG-CVU-018-2022-MSMT-1,0
KGMU-NSB-065-2022-MSMT-1,0
KGKA-BKG-037-2022-MSMT-1,0
KGKA-BKG-172-2022-MSMT-1,339.0
KGMU-NSB-121-2022-MSMT-1,0
